,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
1773,United Kingdom,,1 night ,October 2018,Couple, The staff were genuinely friendly.," The room was bizarrely laid out. There was a huge column in the room which cut off a quarter of the room. The TV was attached to this and you had to squeeze passed this to get out of the bed. There was nowhere to sit and put your makeup on, there was a mirror part way down a wall which had obviously been above a table at some point but was now unusable.  The glass wall between the bathroom and room was odd too couldn't leave a light on at night. Pitch black room and the TV on the column meant a banged head. The bathroom bin hadn't been emptied from the previous occupant and was full of someone else's rubbish and the bathroom was generally grubby and mouldy.  For the price paid this was poor.",6.2,"Average, great location and staff but wouldn't stay again,"
1774,United Kingdom,,1 night ,October 2018,Couple, the area its in was good, the value for money wasnt good.,5.8,Okay
1775,Australia,,2 nights ,August 2018,Couple, The staff were friendly and prompt when attending to a crisis," I didn’t like the tv console and bar fridge in the middle of the room made room feel small. 
We had a few maintenance problems on arrival - our safe didn’t lock - some lights didn’t work and the wardrobe door fell off when I opened it. Maintenance staff were prompt to act and repair fixtures but took our safe and replaced with a new one but took old safe with all of our locked documents inside!!! Our passports, wallet and cash air tickets etc. A traumatic experience for us even though items were located some time later - after notifying front desk. We wouldn’t stay there again.",6.7,Pleasant
1776,United Kingdom,,1 night ,August 2018,Group, It’s all ok but looking tired these days, As above,7.1,It was ok hotel needing major work now tho
1777,United Kingdom,Junior Suite,1 night ,March 2021,Couple,,,10,Exceptional
1778,Philippines,Standard Room,3 nights ,March 2021,Solo traveler,,,10,Exceptional
1779,United Kingdom,Junior Suite,1 night ,March 2021,Couple,,,8.0,Very Good
1780,United Kingdom,Standard Room,1 night ,March 2021,Family,,,8.0,Good stay
1781,Canada,Standard Room,1 night ,March 2021,Solo traveler,,,10,Exceptional
1782,United Kingdom,Standard Room,1 night ,March 2021,Couple,,,10,Exceptional
1783,United Kingdom,Premium Room,1 night ,February 2021,Solo traveler,,,8.0,Very Good
1784,United Kingdom,Standard Room,2 nights ,January 2021,Solo traveler,,,8.0,Stayed to attend a funeral during lockdown. The staff couldn't have been nicer and more helpful.
1785,United Arab Emirates,Standard Room,2 nights ,December 2020,Family,,,9.0,Wonderful
