,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
0,Saudi Arabia,Standard Room,4 nights ,July 2019,Couple, Location great. Stafs are freindly and services are super.fast check in/out, Breakfast is expensive and limited,10,Exceptional
1,United Kingdom,Junior Suite,2 nights ,March 2021,Couple, I couldn’t fault anything, Nothing everything was brilliant staff etc,10,Totally satisfied
2,United Kingdom,Junior Suite,2 nights ,March 2021,Couple," We were travelling for a medical procedure in a nearby clinic. The thing that stands out most was how lovely the staff were, nothing was too much trouble.  The room was perfect with everything you could need. The WiFi was good."," The breakfast was a continental style delivered to your door in a bag (due to covid which is entirely fair). The only thing was, It was all sweet things except for one piece of cheese which had nothing to go with it, a plane bread roll would have been perfect.",8.0,"Would love to visit the hotel and city again, when things get back to normal"
3,United Kingdom,Standard Room,1 night ,March 2021,Couple, Everything, All good,9.0,Wonderful
4,United Kingdom,Junior Suite,1 night ,February 2021,Couple, Very friendly and helpful font desk staff, Need to go out for food. Understandable given lockdown,8.0,Excellant given lockdown issues
5,United Kingdom,Standard Room,1 night ,February 2021,Group, All was great very pleasant reception staff a very nice stay all round, Nothing to unlike,10,Very nice and will recommend to anyone looking for a hotel to stay in Glasgow
6,United Kingdom,Standard Room,1 night ,February 2021,Solo traveler," Everything is perfect and excellent 
Very clean and calm
The stuff were very helpful", Nothing,10,Excellent!
7,United Kingdom,Standard Room,2 nights ,January 2021,Solo traveler," Breakfast ok. Location good. Hotel simple, comfortable, you always know what to get.", Nothing,8.0,Comfortable. What I expected.  Worst thing that can happen when travelling is to not get what you ex
8,United Kingdom,Standard Room,2 nights ,January 2021,Family," The customer service from the Radisson staff was exceptional, they could not do enough for us. I booked to stay with my young daughter and we had some specific needs for our stay, but nothing was a problem. The communication in the lead up to our stay was excellent, so I knew everything was sorted and I did not need to worry. Our room was beautiful (received a free upgrade), very spacious and immaculate. The hotel is in a central location too, which was important for us. In those very strange times, when Glasgow was in lockdown, we had a very pleasant stay. Highly recommend, would definitely stay again."," It was unfortunate that the restaurant was not open, due to the Covid-19 pandemic, but we still received a good quality continental breakfast to have in our room and were able to order food in, so it didn’t take away from our stay.",10,"Excellent service, lovely hotel"
9,United Kingdom,Standard Room,1 night ,December 2020,Couple," The staff were really helpful and went above and beyond to make our stay enjoyable,",,10,Great hotel with excellent staff
10,Saudi Arabia,Standard Room,4 nights ,July 2019,Couple, Location great. Stafs are freindly and services are super.fast check in/out, Breakfast is expensive and limited,10,Exceptional
11,United Kingdom,Junior Suite,2 nights ,March 2021,Couple, I couldn’t fault anything, Nothing everything was brilliant staff etc,10,Totally satisfied
12,United Kingdom,Junior Suite,2 nights ,March 2021,Couple," We were travelling for a medical procedure in a nearby clinic. The thing that stands out most was how lovely the staff were, nothing was too much trouble.  The room was perfect with everything you could need. The WiFi was good."," The breakfast was a continental style delivered to your door in a bag (due to covid which is entirely fair). The only thing was, It was all sweet things except for one piece of cheese which had nothing to go with it, a plane bread roll would have been perfect.",8.0,"Would love to visit the hotel and city again, when things get back to normal"
13,United Kingdom,Standard Room,1 night ,March 2021,Couple, Everything, All good,9.0,Wonderful
14,United Kingdom,Junior Suite,1 night ,February 2021,Couple, Very friendly and helpful font desk staff, Need to go out for food. Understandable given lockdown,8.0,Excellant given lockdown issues
15,United Kingdom,Standard Room,1 night ,February 2021,Group, All was great very pleasant reception staff a very nice stay all round, Nothing to unlike,10,Very nice and will recommend to anyone looking for a hotel to stay in Glasgow
16,United Kingdom,Standard Room,1 night ,February 2021,Solo traveler," Everything is perfect and excellent 
Very clean and calm
The stuff were very helpful", Nothing,10,Excellent!
17,United Kingdom,Standard Room,2 nights ,January 2021,Solo traveler," Breakfast ok. Location good. Hotel simple, comfortable, you always know what to get.", Nothing,8.0,Comfortable. What I expected.  Worst thing that can happen when travelling is to not get what you ex
18,United Kingdom,Standard Room,2 nights ,January 2021,Family," The customer service from the Radisson staff was exceptional, they could not do enough for us. I booked to stay with my young daughter and we had some specific needs for our stay, but nothing was a problem. The communication in the lead up to our stay was excellent, so I knew everything was sorted and I did not need to worry. Our room was beautiful (received a free upgrade), very spacious and immaculate. The hotel is in a central location too, which was important for us. In those very strange times, when Glasgow was in lockdown, we had a very pleasant stay. Highly recommend, would definitely stay again."," It was unfortunate that the restaurant was not open, due to the Covid-19 pandemic, but we still received a good quality continental breakfast to have in our room and were able to order food in, so it didn’t take away from our stay.",10,"Excellent service, lovely hotel"
19,United Kingdom,Standard Room,1 night ,December 2020,Couple," The staff were really helpful and went above and beyond to make our stay enjoyable,",,10,Great hotel with excellent staff
20,United Kingdom,Family Room,2 nights ,December 2020,Family," Given the current situation the hotel was well organised , super clean and staff ( Lee) was lovely .
Breakfast was good and tea and coffee facilities excellent.Location was as expected very handy for main shopping , restaurants etc."," I would have loved to experience the hotel facilities, the bar , restaurants, atmosphere under normal circumstances so there was nothing I didn’t like that was in the control of the hotel or staff.",10,"Enjoyable, relaxing good value for money."
21,United Kingdom,Standard Room,1 night ,November 2020,Solo traveler, The room was very comfortable especially the bed.," Nothing that they could fix.
Due to lockdown all facilities were closed.",8.0,Very Good
22,United Kingdom,Junior Suite,1 night ,December 2020,Couple," Had a lovely breakfast,location was great.",,10,"The hotel is beautiful , staff are very friendly  and helpful. Will be back."
23,United Kingdom,Standard Room,7 nights ,December 2020,Solo traveler," The room was great, the staff were fantastic", Nothing,8.0,Exerlent
24,United Kingdom,Premium Room,1 night ,December 2020,Couple," Great location, staff are really happy to help, nothing is any hassle", Wallpaper in the room (611) a bit dirty (no idea how people get the walls dirty),10,Fantastic hotel
25,United Kingdom,Standard Room,2 nights ,December 2020,Couple," Bed very comfortable
Breakfast in bag due to C19",,8.0,Staff very helpful and pleasant
26,United Kingdom,Premium Room,2 nights ,September 2020,Group," We upgraded to a Premium room when i booked which actually worked out cheaper as i have the Genius discount. It was lovely, bathrobes, slippers a nespresso machine, all the bathroom necessities and more! The staff were lovely and welcoming especially in these uncertain times and the hotel was absolutely spotless for the 2 days we stayed. Would definitely recommend staying here and will definitely book again.", The length of the queue when checking in was blocking most of the doorways and wasn't very organised. The reception staff tried to make it ordered but seemed to lack authority.,10,Brilliant. Lovely comfy stylish hotel with beautiful rooms and in excellent location.
27,United Kingdom,Standard Room,3 nights ,November 2020,Couple," Food was excellent, staff were very, very helpful and polite. Went out our their way to accommodate our needs. 10/10"," There was roofing being done and which caused us to be awoken 2 mornings in a row, however these things happen. The manager got it sorted for us as they did not realise it would be heard on out floor, and we even received a free bottle of bubbly and a movie charge taken away. They know how to look after their guests and we will return for sure.",10,Exceptional
28,United Kingdom,Standard Room,1 night ,November 2020,Couple, Staff were amazing and really made our stay that much better. 10/10,,10,Exceptional
29,,Standard Room,1 night ,October 2020,Solo traveler, Staff within the hotel were amazing and could not do enough for you. Within these current times - it's important to remember the staff are under a lot of pressure to remain employed.,,9.0,Wonderful
30,United Kingdom,Standard Room,1 night ,November 2020,Couple," The Staff, The Staff and The Staff"," Staff were friendly and professional. Should really have remembered the gentlemans name, asset to the company. 
The place was not as good as Radisson Red.",8.0,Very Good
31,United Kingdom,Standard Room,1 night ,October 2020,Couple, Staff were very pleasant and accommodating,,10,Exceptional
32,United Kingdom,Standard Room,1 night ,October 2020,Family, exceptionally friendly staff; great room service; really comfortable bed and lovely bathroom, shower head a bit loose but nothing I couldn't deal with,9.0,"great location, great staff who went the extra mile, nice to be in Glasgow"
33,United Kingdom,Standard Room,1 night ,November 2020,Family, The room fantastic able to get movies on TV  for the children, The rooms were very clean and comfortable  plenty of room .the layout was nice,10,Exceptional
34,United Kingdom,Standard Room,1 night ,September 2020,Family," Very efficient staff
Ultra clean 
Great value", Nothing,9.0,Wonderful
35,United Kingdom,Standard Room,1 night ,November 2020,Couple, The staff were very friendly and helpful. The food was excellent. The room decor and surrounding areas were beautiful. We would definitely return here soon.," there was a lot of rough sleepers and people on drugs on the street outside, made me scared to leave or enter in the evening. Room service very expensive.",10,Radisson blu Glasgow
36,United Kingdom,Superior Room,1 night ,November 2020,Couple, All was good, Nothing,10,Was a great stay for our wedding night
37,United Kingdom,Standard Room,1 night ,October 2020,Couple, Everyone was helpful and attentive, Nothing,9.0,First class stay
38,United Kingdom,Corner Suite,1 night ,October 2020,Family, Ryan on reception can’t do enough for you on arrival," The food was terrible the waiter today on the  28th the restaurant was terrible .
But again chicken wings were cold not the best",10,Great stay
39,United Kingdom,Standard Room,1 night ,September 2020,Couple, Wasn’t over impressed by the restaurant average food, Nothing bad just average,10,Excellent room great location for
40,United Kingdom,Standard Room,1 night ,October 2020,Couple, The friendly welcoming staff and the assistance, Nothing was very happy with my stay,10,Exceptional
41,United Kingdom,Corner Suite,1 night ,October 2020,Couple," No complaints at all.. from the staff to the room, to the breakfast all amazing 👏", Na,10,"No complaints at all.. from the staff to the room, to the breakfast all amazing 👏"
42,United Kingdom,Standard Room,1 night ,September 2020,Couple, Handy location next to central station. Staff were pleasant and overall it was great value for money. The options at breakfast were fantastic.," I can’t imagine the hotel was overly busy during a pandemic but our room was the furthest away from the elevator and a bit of a trek to get to. Minor annoyance, obviously fine for one night.",9.0,Wonderful
43,United Kingdom,Standard Room,1 night ,September 2020,Couple," Breakfast was lovely ,as were all the staff",,8.0,Lovely nights stop off
44,United Kingdom,Superior Room,4 nights ,September 2020,Couple,," I had requested a quite room and we were put on the 2nd floor over the very busy Bus stop that comes alive at 5.20 am . Not sure if this was Booking . com or Rads fault , I Complained after the 3rd night and was up graded to the junior sweet on the 4th floor . I so wish i had done it earlier. This is our Hotel of Choice when we visit Glasgow which should be 3 times a year But would not accept the room over the Bus Stop again",8.0,Very Good
45,United Kingdom,Standard Room,1 night ,October 2020,Family, Ryan the man on reception was lovely, Lamps didn’t work nor did the heating . A shame my 12 year old couldn’t use the swimming pool,10,Exceptional
46,United Kingdom,Standard Room,1 night ,October 2020,Couple," Friendly staff, very spacious building and room :)",,10,Amazing
47,United Kingdom,Superior Room,1 night ,September 2020,Solo traveler," The staff were excellent.
Breakfast was good.
Dinner was good.
Room was good.",,8.0,Very Good
48,United Kingdom,Corner Suite,1 night ,October 2020,Family, Room excellent and very clean. Staff brilliant so friendly and helpful. Amazing pizza on room service! Would love to go back Xox, Couldn’t get tv working properly,9.0,Corner suite
49,United Kingdom,Standard Room,1 night ,September 2020,Family, Great location really friendly staff.  We needed adjoining rooms which wasn’t a problem and really handy for the kids.  Communication with the hotel to arrange this was great and our stay was perfect.  Will be returning again next week for our first wedding anniversary and looking forward to it., Nothing,10,Exceptional
50,United Kingdom,Standard Room,1 night ,October 2020,Solo traveler, The service is second to non, The room size and the fact that they sanitise everything.,10,Great staff lovely hotel
51,United Kingdom,Standard Room,1 night ,October 2020,Couple, The whole experience was wonderful, Absolutely nothing,10,Amazing experience
52,Jersey,Standard Room,3 nights ,October 2020,Family," Room only. We were attending a family funeral and, in these difficult times, the assistance of the reception staff in particular in arranging transportation etc, was invaluable and much appreciated."," Nothing really, everything was excellent",10,"Sadly, our stay was in order to attend a family funeral but the hotel staff were excellent."
53,United Kingdom,Standard Room,1 night ,October 2020,Couple," Staff at breakfast so attentive and breakfast exceeded expectations, all in all a wonderful experience", It was perfect,10,Amazingly wonderful
54,United Kingdom,Standard Room,1 night ,October 2020,Couple," Great hotel, great location, staff very welcoming, Russell and a Marie in particular.", Nothing.,10,Great!
55,United Kingdom,Standard Room,1 night ,October 2020,Couple, The room was spacious and clean, Nothing,9.0,Great night away in lovely room
56,United Kingdom,Standard Room,1 night ,October 2020,Couple," Location was perfect, close to shops and bars. Very clean with friendly staff."," Small touch ups needed in the room, some flaking paint in bathroom.",9.0,Perfect no complaints
57,United Kingdom,Junior Suite,1 night ,October 2020,Solo traveler, The hotel was in a great location and my room was clean and had a great view. The measures taken to keep staff and guests safe were excellent. The staff were very friendly and helpful. The bar lady Laura was very welcoming and had a great knowledge regarding whiskies. Definitely happy to stay there again., Location and the friendly staff.,8.0,Great Hotel
58,United Kingdom,Standard Room,1 night ,September 2020,Couple," Everything. Rooms were a good size, modern and tremendous value for money. (At the moment). Bar area was spacious but cozy at the same time. Staff couldn’t be faulted.", Breakfast was good but could have been hotter.,9.0,Great place to stay
59,United Kingdom,Junior Suite,1 night ,September 2020,Couple, Everthing, Having to leave,10,Exceptional
60,United Kingdom,Standard Room,1 night ,September 2020,Group," Spacious room, hotel centrally located and near all shops. Had an issue with first room  allocated to us, went back down to reception and spoke to Lee about our issues, took him all of 5 minutes to sort us a new room - Radisson are lucky to have him, genuine and very good at his job - would give him 10 out of 10 and employee of the month if I could. Really knows how to treat his guests.
Have stayed in a few Radisson Hotels and have never been disappointed. Would definitely recommend to my family and friends.", Nothing!!!!,9.0,Friendly reception staff who could not do enough for you. Lee deserves a special mention.
61,United Kingdom,Standard Room,1 night ,September 2020,Solo traveler, Everything," Staff all fantastic, can't do enough for you. Food amazing.
If my entire window wall hadn't got soaked with condensation would have been 10/10.",9.0,Wonderful
62,United Kingdom,Standard Room,1 night ,September 2020,Solo traveler," Located right next to central station in the centre of town the location is great. Modern and clean with good sized beds, selection of pillows large en suite with shower over bath. 
Staff were also excellent and Covid procedures gave comfort. 
Would have given full marks but for two things
1.  The air conditioning was loud and I had to switch it off. 
2. The TV is completely locked down so I couldn’t screen mirror my films from my iPad",,9.0,Business trip
63,Germany,Premium Room,1 night ,September 2020,Solo traveler, Nice design comfortable bed friendly staff,,8.0,Very Good
64,United Kingdom,Standard Room,1 night ,August 2020,Couple, Comfortable bed great room, Couldnt get a drink at the bar or room service,8.0,Very Good
65,United Kingdom,Standard Room,1 night ,September 2020,Couple, Very professional staff. Service was second to none. Especially breakfast staff who were very attentive.  Breakfast was very delicious and great covid 19 measures put in place. Cant wait to be back., Nothing,10,Fantastic
66,United Kingdom,Standard Room,2 nights ,September 2020,Couple," Good, spacious and well-equipped bedroom. Hotel was very conveniently located in Central Glasgow.", Nothing. We've been before and would go again.,10,two days in Glasgow
67,United Kingdom,Superior Room,1 night ,September 2020,Family," Excellent location and great room, breakfast & service", Nothing,10,Perfect
68,United Kingdom,Standard Room,1 night ,September 2020,Family," Had an amazing stay! Lee from the front desk is AMAZING! He couldn’t of done anymore for us! The hotel is beautiful and rooms were great! 
Lee deserves a raise if your reading!!", Nothing!,10,Lee is amazing!!
69,United Kingdom,Superior Room,2 nights ,September 2020,Family," The rooms were clean with big comfortable beds. The staff were really friendly and helpful, particularly Lee at checkin. The food was lovely. The location was perfect. We were there to drop our child off to University, so it was very handy for that.",,10,Perfect. I look forward to returning.
70,United Kingdom,Standard Room,2 nights ,September 2020,Couple, N/a, N/a,8.0,Great
71,United Kingdom,Standard Room,1 night ,September 2020,Couple, Was a lovely welcome and hotel is class and central for everything,,10,Exceptional
72,United Kingdom,Superior Room,2 nights ,September 2020,Couple, Was absolutely amazing!! Will never go anywhere else now staff went absolve and beyond absolutely amazing!!,,10,Exceptional
73,Ireland,Standard Room,2 nights ,September 2020,Couple, The room was very neat and I like the window side room. The bed was very comfortable and I like the fact that we had sanitizer in the room very COVID 19 compliant," we had a problem with the key card twice and we had to get the reception to open the door for us on our 2nd night, I didn't really like this. we waited outside our door for 5 minutes. This has to be checked out",8.0,"our stay was nice for a short trip, Lee at the reception made it even better with his compliments."
74,United Kingdom,Standard Room,1 night ,September 2020,Couple, Staff very polite and helpful, Nothing  really,8.0,5 Star facilities and a 3 Star rate
75,United Kingdom,Superior Room,1 night ,July 2020,Couple, The staff were very welcoming and put us at ease for our first visit out after restrictions were lifted,,8.0,Great for the city centre
76,United Kingdom,Premium Room,1 night ,September 2020,Couple," Everything was perfect,staff very nic,breakfast delicious,plenty choice,dinner lovely",,10,Brilliant
77,United Kingdom,Standard Room,1 night ,September 2020,Couple," Breakfast was good and the hotel had taken lots of extra COVID 19 steps.
Lee on reception was a star in dealing with an air con problem",,9.0,Wonderful
78,United Kingdom,Standard Room,2 nights ,September 2020,Couple, Central location very clean rooms,,10,"Staff friendly, room lovely and clean"
79,United Kingdom,Superior Room,2 nights ,September 2020,Solo traveler," Central, clean and safe feeling", No lift to gym,9.0,Wonderful
80,United Kingdom,Corner Suite,1 night ,September 2020,Couple,, Better tv selection ie YouTube etc most hotels have this now,8.0,Very Good
81,United Kingdom,Standard Room,1 night ,September 2020,Solo traveler, everything," Walking from the hotel to the city centre there was a lot of street drinking by less than savoury individuals,it made you feel uncomfortable.This is the only downside to staying at raddison blu",9.0,Wonderful
82,United Kingdom,Standard Room,1 night ,August 2020,Group," The staff were very helpful for us, and were just very nice, the room was lovely. I loved the SubClub posters up on the walls!!",,10,Exceptional
83,United Kingdom,Standard Room,2 nights ,September 2020,Couple," Lovely hotel, very clean, delicious food, and nice friendly staff.", Only complaint I have is pillows were uncomfy to sleep on.,9.2,Lovely stay!
84,United Kingdom,Standard Room,1 night ,August 2020,Couple," Excellent stay here in Glasgow, gorgeous hotel and very central to pubs and restaurants 👌🏻", Nothing.,10,Exceptional
85,United Kingdom,Premium Room,1 night ,September 2020,Couple, Very clean and great location, Nothing,8.0,Nice Hote
86,United Kingdom,Standard Room,1 night ,September 2020,Family, Location," Bar friendly people
Stuff welcoming customers",8.0,Very Good
87,United Kingdom,Superior Room,1 night ,September 2020,Couple, All the staff. Mention for Ryan at check in very helpful,,9.0,Wonderful
88,United Kingdom,Standard Room,1 night ,September 2020,Family, The breakfast was excellent and staff were very friendly and welcoming. We thoroughly enjoyed our stay and would definitely return and recommend!, Nothing!,10,"Excellent location, friendly staff, clean hotel room"
89,United Kingdom,Standard Room,2 nights ,September 2020,Solo traveler," Friendly staff, good adjustable temperature in room", Nothing,9.0,Wonderful
90,United Kingdom,Standard Room,2 nights ,August 2020,Group, The staff were very helpful! The location was great for town centre. Hotel was clean and beds very comfy.," The only thing we were on 6th floor with very large windows. When trying to get ready on a hot day the heat was unbearable in the room, I believe our air con wasn’t working. We asked for a fan at reception though, and they provided.",8.0,Very Good
91,United Kingdom,Standard Room,2 nights ,September 2020,Couple," Friendly staff, clean and spacious rooms tastefully decorated, comfy beds. I haven’t stayed here lots of times and it will always be my place of choice in Glasgow."," The car parking is in the NCP on the road round the corner and, unfortunately, did not feel secure. We even seen the police escorting someone out of the car park as we went back to collect the car. Also, even with the hotel’s discount this is expensive to use as NCP charge by day rather than rolling 24 hour periods so we had a £45 parking fee to add to our two night hotel stay.",10,Exceptional
92,United Kingdom,Standard Room,1 night ,September 2020,Couple, Location for city centre and easy parking, Wine glass from bar hadn’t been cleaned properly and in this time of Covid19 it’s essential everything is spotlessly clean!,9.0,Rad blu
93,United Kingdom,Corner Suite,1 night ,September 2020,Couple, Brilliant Hotel design; superb food and drink; great staff; rooms very comfortable, Immediate location run down,10,Great city break at a superb hotel
94,United Kingdom,Standard Room,1 night ,August 2020,Group," I tried to get a coffee for my friends and my but could not, ask two of the staff but no one returned.",,8.0,Very Good
95,United Kingdom,Standard Room,3 nights ,September 2020,Couple," Stayed early sept 2020 and a great stay considering the coronavirus outbreak staff were brilliant, made the stay better , as no query about social distancing or safety protocols went unanswered ,, great location rooms clean and a good size  had a fridge which was handy", Nothing to complain about really,9.0,Wonderful
96,Germany,Premium Room,1 night ,August 2020,Couple," Good hygienic concept, very friendly stuff, nice bar"," Breakfast took very long, waited 30minutes to order and another 25minutes to finally get the breakfast",9.0,Very nice room but chaotic breakfast
97,United Kingdom,Superior Room,2 nights ,September 2020,Couple, Felt safe in the hotel, The bar area was a bit cold,8.0,Good location & typical standard from Radisson
98,United Kingdom,Premium Room,1 night ,September 2020,Couple, Brilliant stay staff were amazing, Couldn’t not fault it,10,Exceptional
99,United Kingdom,Standard Room,1 night ,September 2020,Couple, Didn’t have bteakfast, Very crntral,10,Staff and hotel very helpful
100,United Kingdom,Standard Room,1 night ,September 2020,Couple, From the minute we arrived we were greet with friendly receptionist. His service made me feel welcome. All the staff that I met were so nice and nothing was a bother to them. They all looked happy at their work.,,10,The stay was what I needed and will definitely make it a regular thing in my life
101,United Kingdom,Standard Room,1 night ,September 2020,Group, room spotlessly clean   breakfast was everything we wanted        bed and comfort is all we could have asked for, if the drink in the bar had been free that would have been an excellent plus  but seriously there was nothing any of us disliked,9.0,brilliant staff i will be back with my family
102,United Kingdom,Premium Room,1 night ,September 2020,Couple, The room decent and staff were friendly, No cocktails after 12,8.0,all good
103,United Kingdom,Standard Room,1 night ,September 2020,Couple, Spacious clean rooms in a great locations for all Glasgow has to offer, Cannot complain as value for money,8.0,Great location and good value
104,United Kingdom,Standard Room,1 night ,September 2020,Couple," Location great, evening meal was nice , steak's cook just as asked ,", Slight problem with breakfast but that was sorted very quickly,10,Relaxing
105,United Kingdom,Standard Room,1 night ,August 2020,Couple," The rooms were a great size, very comfortable and very clean.",,10,Radisson Blue Review
106,United Kingdom,Standard Room,1 night ,September 2020,Solo traveler, Excellent service, Service and cleanliness,10,Exceptional
107,United Kingdom,Junior Suite,1 night ,August 2020,Family, This hotel I one of the cleanest and well managed hotel I’ve stayed in the staff were amazing the drinks were fantastic and the evening dinner was lively, Staff at breakfast need attention,10,Amazing stay
108,France,Standard Room,3 nights ,August 2020,Solo traveler," The place was clean, comfortable and convenient with friendly staff, always caring for our well-being. Breakfast was fine. I had all I wanted", The room and bathroom were not cleaned as a result of Covid measures. Towel were not changed and trash boxes not emptied in the three days I stayed there.,9.0,Had a great stay in a conformable hotel
109,United Kingdom,Superior Room,1 night ,August 2020,Couple, Breakfast was lovely. Room was beautiful. Staff were amazing.,,9.0,Beautiful wroth the money staff are so friendly
110,United Kingdom,Superior Room,1 night ,August 2020,Couple, We had dinner and drinks in the restaurant and it was excellent. The room was excellent,,9.0,Excellent
111,United Kingdom,Standard Room,1 night ,August 2020,Family, Breakfast was fab.., The bathroom needed a little oomph.. update grout and clean the tiles to make streak free,10,Over all still really good comfy bed too
112,United Kingdom,Standard Room,1 night ,August 2020,Solo traveler," Bed, toiletries, room size, room design, staff",,10,Exceptional
113,United Kingdom,Superior Room,1 night ,August 2020,Couple," Friendly staff, good location and happy all over",,8.0,Lovely
114,United Kingdom,Standard Room,1 night ,August 2020,Couple, Better than average, Location was ideal for my visit.,8.0,I had a medical appointment.  The hotel was close to the appointment venue and the railway station.
115,United Kingdom,Standard Room,3 nights ,August 2020,Solo traveler," Large, spacious rooms, friendly staff.", The queuing due to the coronavirus but that has nothing to do with the hotel.,8.0,Very Good
116,United Kingdom,Premium Room,1 night ,August 2020,Couple, Location and friendly and helpful staff,,9.0,Wonderful
117,United Kingdom,Junior Suite,1 night ,August 2020,Couple," Bed was great, view amazing, very nice bathroom and hotel staff amazing", Easier access on tv for entertainment purposes ie usb into back of tv or guide on how to use mirroring,9.0,Amazing would come back again
118,United Kingdom,Premium Room,2 nights ,August 2020,Couple, Scott the barman was exceptionally helpful. Need more people like him. The rest of the staff brilliant and very helpful too, Couldn’t open windows for fresh air,9.0,Wonderful
119,United Kingdom,Standard Room,2 nights ,August 2020,Solo traveler, This was my first trip after lockdown. The hotel has excellent measures in place to ensure you felt safe throughout the stay. The staff were  really pleasant and helpful . Dinner and breakfast excellent. Look forward to staying again,,9.0,"Brilliant, looking forward to returning"
120,United Kingdom,Standard Room,1 night ,August 2020,Couple, The breakfast was great,,10,Exceptional
121,United Kingdom,Standard Room,1 night ,August 2020,Family," Great view, huge room, comfy bed", Windows didn’t open. One duvet between two single beds. We requested a twin room.,8.0,Great location
122,United Kingdom,Standard Room,1 night ,August 2020,Couple, Clean efficient good food and friendly staff,,9.0,Great time
123,United Kingdom,Standard Room,1 night ,August 2020,Family, Friendly staff and comfortable stay.,,8.0,Very Good
124,United Kingdom,Standard Room,1 night ,August 2020,Family,, There was no cold water at a time when I wanted to have a shower and wash. As a consequence the water was scalding.,8.0,Very Good
125,United Kingdom,Premium Room,1 night ,August 2020,Solo traveler," Staff were so nice and friendly, especially Lee so funny! The room was perfect and the bed was so comfy and was so sad to leave it!",,10,"First time say, certainly not the last!"
126,United Kingdom,Standard Room,1 night ,August 2020,Family," Great hotel, beautiful place, comfy rooms, in the center of town.", We have to pay £20 per day for  parking,9.0,"Great hotel, beautiful place, comfy rooms, in the center of town."
127,United Kingdom,Standard Room,1 night ,August 2020,Family," Brilliant location, lovely breakfast !", We had to pay for the parking,10,Excellent !!!!
128,United Kingdom,Standard Room,1 night ,August 2020,Couple," This hotel is in a very good location with a discounted car park close by,the whole place is very clean and the front of house staff were very cheerful and helpful,an excellent base for eating out,drinking and shopping",,10,Excellent City Centre Hotel
129,United Kingdom,Standard Room,1 night ,August 2020,Couple," Clean and very friendly and helpful  , great cooked breakfast",,9.0,Wonderful
130,United Kingdom,Standard Room,1 night ,August 2020,Couple," Staff were lovely, especially the receptionist (Lee I think his name was) he was so friendly, really helpful thank you! Hotel was fab, bar was lovely, whole place really clean and had all the correct measurements in place for current COVID situation. Felt so safe, and would highly recommend."," Our room was a little warm, we were told someone would fix the air conditioning and we did get free drinks vouchers due to this. However, even after it being fixed we both found the room quite hot, especially during the night! Apart from that everything else was great.",9.2,Wonderful
131,United Kingdom,Standard Room,1 night ,August 2020,Couple," The location of this hotel is a 10/10 just a few minutes walk from literally everything! The staff in reception are extremely helpful and talkative making you feel comfortable, the staff in the grahamston bar were lovely and were a good laugh. Our room was on the fourth floor and it was lovely, would stay again :)",,8.0,Very Good
132,United Kingdom,Standard Room,1 night ,August 2020,Couple," Great location. Nice room. Clean, well equipped", More tea bags in room,10,"Great value, great location, great hotel"
133,United Kingdom,Standard Room,1 night ,August 2020,Couple," Staff where lovely, room was spotless",,10,Exceptional
134,United Kingdom,Standard Room,1 night ,August 2020,Couple," The breakfast was included with overall price and was amazing. Staff serving at breakfast were friendly and helpful, very quick to see to your requests. Only suggestion I would have is to maybe add toast to the menu handed out so people are aware you can order toast? Apart from this though, faultless! The room was quiet, as soon as you stepped in to the room you blocked out the outside world it was quiet and relaxing. The bed is super comfy! The lightning in the bathroom is amazing too. Currently with the pandemic there is no stocked minibar and whilst some would see this as a con, I quite liked this as me and my partner chose to use this as a fridge for our drinks and water, I liked having that choice of stocked minibar or not. The staff are some of the most friendliest you will meet they show interest in your stay and travels and are very professionally dressed, they see to your requests with such friendliness. Upon check out we left our bags for a few hours in the luggage room which I think is a great addition! It truly shows the Radisson is a more upmarket hotel yet not at an upmarket cost when paired with other nearby hotels so why wouldn’t you choose a little bit of luxury with Radisson? We had a particular great experience with a reception staff member who’s name we didn’t quite catch on his badge! Ryan? We are unsure but a special thanks to him, very kind and friendly, remembers you and takes great interest in your stay."," Having stayed previously I know how faultless this hotel can be however, there were a few hiccups on this occasion. I find the ice machine on each floor a great asset and highlight to this hotel however, none on floor 2 and 3 had been filled. However, when we phoned down to reception they asked if we were aware of the ice machines, when we explained they brought us up a bucket of ice to our room in under 5 minutes. Another hiccup was the water wasn’t working properly when we arrived (no cold water and was green in colour) however when we phoned reception they didn’t specify why but said they’d sort it and quickly rectified the situation, even phoning to check in that it was clear. My guess would be in light of current situations in the world right now it’s hard to keep on top of everything but the staff make up for it with efficiency.",8.0,"Relaxing, quiet, comfortable and still my favourite hotel!"
135,United Kingdom,Standard Room,1 night ,August 2020,Couple, Location of the room and the bed was very comfortable, Nothing I was very satisfied,10,Exceptional
136,United Kingdom,Corner Suite,1 night ,August 2020,Couple, Loved the Layout of the Room and location, Only flaw was a cleaner walked in to the room without knocking at 10am.,10,Exceptional
137,United Kingdom,Standard Room,1 night ,August 2020,Solo traveler," The style and the location are impeccable, staff were nice and helpful also with things as they are they had good measures in place"," Small things like the handle to the window was semi broken and needed repaired, they don’t own their own parking facility",9.0,Wonderful
138,United Kingdom,Superior Room,3 nights ,August 2020,Family, Staff went above and beyond, On the booking.com website it said views - however we had a view of a building next door ... paid extra for the view too so a little disappointed,8.0,Very Good
