,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
3813,United Kingdom,Standard Room,1 night ,September 2018,Family, Loved the breakfast the choice was excellent. All of the staff were really polite., The prices of the drinks are ridiculous.  I paid £14 for a medium glass of wine. This really annoys me as I can buy a bottle of cheap wine for around £6 and a fairly decent bottle for £14. Please stop ripping people off.,10,Exceptional
3814,United Kingdom,Standard Room,1 night ,September 2018,Couple," Great location. And staff were super helpful. Paul in the bar even gave us an excellent, complementary Aperol Spritz as it was our honeymoon!",,10,Perfect location
3815,United Kingdom,Standard Room,1 night ,September 2018,Couple," The location was just what we wanted, close to the terminal and the train station
Very clean and no noise from aircraft either in the room or the open areas
The extra touch like the pull out washing line in the bathroom, we didn't need it but thought it was a nice extra"," The only downside was the poorly stocked and extremely overpriced bar, i expect to pay a little extra at an airport and especially in a hotel at an airport but they really took the mickey! we only had one drink and then went elsewhere.",9.2,Overall would recommend this hotel and if flying from terminal 2 it's a no brainer.
3816,United Kingdom,Standard Room,1 night ,September 2018,Family," Easy access to departure terminals and lounges.When checking in we
received a voucher for a free drink in the bar,which was a nice surprise.The
staff at reception were very welcoming and that can make a difference to
your stay,at any hotel.Well done,Radisson Blu."," There was nothing we could find fault with.This was our first stay at the
Radisson  Blu and we were very impressed.We wanted to stay as close to
the airport as we could and the hotel was the perfect choice.",10,Perfect start to our holiday.Friendly staff and excellent facilities.
3817,United Kingdom,Superior Room with Runway View,1 night ,September 2018,Couple," Great location for the airport, had an early start so walking distance is great. Room was clean. Food in the bar was delicious and a good range of drinks. Check in was great, the guy who dealt with us was so friendly."," We paid extra for a runway view but it only overlooked the road and the terminal building. Possibly would have been better higher up but we were on the first floor. Wouldn’t pay this again. 
Drinks were a bit pricey (£12 for a glass of wine and £3.60 for a black currant and soda), needless to say we only had one.",8.3,Very Good
3818,United Kingdom,Superior Room with Runway View,1 night ,September 2018,Couple, The bed was very comfy and the room was spacious!, The bathroom was quite basic for the price of the room.,9.2,Great location and very nice rooms!
3819,United Kingdom,Standard Room,1 night ,September 2018,Group, Proximity to station and airport,,8.3,Very Good
3820,United Kingdom,Standard Room,1 night ,September 2018,Group, The staff were very friendly and the rooms very comfy have stayed many times before just wish loyalty was given as I have stayed there many times and have never had a discount. It is good they have reduced the price of breakfast so it was good value for money., Nothing,8.3,Very enjoyable
3821,United Kingdom,Standard Room,1 night ,September 2018,Group," comfy bed, nice toiletries, great breakfast!", would be nice to have biscuits with the coffee facilities in the room!,7.5,Good
3822,United Kingdom,Executive Room with Runway View and Lounge Access,1 night ,September 2018,Couple," Excellent staff, great lounge, breakfast was good but not excellent", Breakfast some food over cooked and cold,9.6,Really good stay
3823,United Kingdom,Standard Room,1 night ,September 2018,Solo traveler," Great location, facilities and very nice room.", Hotel is expensive,9.2,"Great hotel, but expensive"
3824,United States of America,Premium Room with Runway View,2 nights ,September 2018,Couple, Helpful staff, Room key had to be re-set 3 times when it would not work.,9.6,Good location and easy to walk to check-in.
3825,United Kingdom,Superior Room with Runway View,1 night ,September 2018,Solo traveler, massive comfy bed with a view of the runway, the food menu is to expensive,9.6,top quality hotel
3826,Canada,Standard Room,1 night ,September 2018,Couple, We stayed at the end of our travels and found this room perfect.  The room layout was great for large suitcases and no need for wardrobe.  Beds and pillows comfortable.  Heated floors in the bathroom was a nice touch too.," It was great, exactly what we were looking for.  The bar had s more casual menu and we enjoyed a meal there as well room service was available.",10,Convenient and comfortable
3827,United Kingdom,Superior Room with Runway View,1 night ,September 2018,Couple, Great room well appointed nice toiletries in all an excellent stay., Nothing not to like,9.6,Great way to start your holiday.
3828,United Kingdom,Standard Room,1 night ,September 2018,Couple, Direct connection to Manchester airport terminals.,,8.3,Very Good
3829,Malaysia,Standard Room,1 night ,September 2018,Family," The staff overthere is really helpful, a very good location if you need to catch an early flight. The hygiene of the hotel is good too. Highly recommended to others for a short stay", I didn't find anything I don't like about this hotel.,9.2,Wei Ng
3830,United Kingdom,Standard Room,1 night ,September 2018,Couple," Loved the location of the hotel, as it was so convenient for getting our flights. Staff were friendly, curteous and accomodating at reception and in the restaurant. Room was spacious and clean, bed was very comfortable. Enjoyed breakfast, there was a great variety of choice.", The fact there was no bottled water in the room for making tea and coffee.,10,Excellent hotel.
3831,Isle of Man,Standard Room,1 night ,September 2018,Couple, Great location at the airport ready for our early flight., Couldn’t get drunk if we tried !! 2 drinks (g&t and a beer) was on average £20... bit steep!,8.8,Excellent
3832,United Kingdom,Standard Room,1 night ,September 2018,Couple, Reception english improving n they r trying to smile....instead of the gruff european manner in the past when we checked in....we r all custoners n not prison inmates...checking in....after a long journey. ....n looking forward to a holiday....," Price hike considerably high, sunce our last booking.....",7.5,An easier start to catch an unternational flight....
3833,New Zealand,Premium Room with Runway View,1 night ,September 2018,Couple, Proximity to the airport.,,9.6,Exceptional
3834,United Kingdom,Superior Room with Runway View,1 night ,September 2018,Couple, The hotel was great! Perfect for getting to our terminal as we just went along the walkway!,,9.2,Wonderful
3835,United Kingdom,Premium Room,1 night ,September 2018,Couple,, £ 167 per night and no breakfast included At this price I think is a bit of a rip off . But have already booked a room for November so still happy with this hotel .,9.0,Handy place to stay right on the walkway to terminal ideal.
3836,United Kingdom,Executive Room with Lounge Access,1 night ,September 2018,Couple," At this hotel everything is easy and not a problem to the staff. Check-in very smooth , room very good snd sn excellent bathroom. Both dinner and breakfast was good value with attentive staff and check out was very smooth too", all w2as good no issues,10,Exceptional
